date,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage
08/10/2013,6.9,7.5,6.3,6.9,6.9,6.9,6.9,6.9,1.043,1.043,1.043,1.043,1.043
09/10/2013,6.9,7.5,6.3,6.9,6.9,6.9,6.9,6.9,1.043,1.043,1.043,1.043,1.043
10/10/2013,6.9,7.5,6.3,6.9,6.9,6.9,6.9,6.9,1.043,1.043,1.043,1.043,1.043
11/10/2013,6.9,7.5,6.3,6.8,6.8,6.8,6.8,6.8,1.028,1.028,1.028,1.028,1.028
14/10/2013,6.8,7.4,6.2,6.8,6.9,6.5,6.6,6.769,1.028,1.043,0.983,0.998,1.023
15/10/2013,6.6,7.2,6.0,6.2,6.2,6.2,6.2,6.2,0.937,0.937,0.937,0.937,0.937
16/10/2013,6.2,6.8,5.6,6.2,6.2,6.2,6.2,6.2,0.937,0.937,0.937,0.937,0.937
17/10/2013,6.2,6.8,5.6,5.6,6.6,5.6,6.5,5.9,0.847,0.998,0.847,0.983,0.892
18/10/2013,6.5,7.1,5.9,6.5,6.6,5.9,6.6,6.5,0.983,0.998,0.892,0.998,0.983
21/10/2013,6.6,7.2,6.0,6.9,6.9,6.9,6.9,6.9,1.043,1.043,1.043,1.043,1.043
22/10/2013,6.9,7.5,6.3,6.9,6.9,6.9,6.9,6.9,1.043,1.043,1.043,1.043,1.043
23/10/2013,6.9,7.5,6.3,6.9,6.9,6.9,6.9,6.9,1.043,1.043,1.043,1.043,1.043
24/10/2013,6.9,7.5,6.3,6.9,6.9,6.9,6.9,6.9,1.043,1.043,1.043,1.043,1.043
25/10/2013,6.9,7.5,6.3,6.8,6.8,6.8,6.8,6.8,1.028,1.028,1.028,1.028,1.028
28/10/2013,6.8,7.4,6.2,6.8,6.8,6.8,6.8,6.8,1.028,1.028,1.028,1.028,1.028
29/10/2013,6.8,7.4,6.2,6.8,6.8,6.8,6.8,6.8,1.028,1.028,1.028,1.028,1.028
30/10/2013,6.8,7.4,6.2,6.5,6.5,6.5,6.5,6.5,0.983,0.983,0.983,0.983,0.983
31/10/2013,6.5,7.1,5.9,6.5,6.5,6.5,6.5,6.5,0.983,0.983,0.983,0.983,0.983
01/11/2013,6.5,7.1,5.9,6.0,6.0,6.0,6.0,6.0,0.907,0.907,0.907,0.907,0.907
04/11/2013,6.0,6.6,5.4,6.0,6.0,6.0,6.0,6.0,0.907,0.907,0.907,0.907,0.907
05/11/2013,6.0,6.6,5.4,6.0,6.0,6.0,6.0,6.0,0.907,0.907,0.907,0.907,0.907
06/11/2013,6.0,6.6,5.4,6.0,6.0,6.0,6.0,6.0,0.907,0.907,0.907,0.907,0.907
07/11/2013,6.0,6.6,5.4,6.0,6.0,6.0,6.0,6.0,0.907,0.907,0.907,0.907,0.907
08/11/2013,6.0,6.6,5.4,6.0,6.0,6.0,6.0,6.0,0.907,0.907,0.907,0.907,0.907
11/11/2013,6.0,6.6,5.4,6.0,6.0,6.0,6.0,6.0,0.907,0.907,0.907,0.907,0.907
12/11/2013,6.0,6.6,5.4,6.0,6.0,6.0,6.0,6.0,0.907,0.907,0.907,0.907,0.907
13/11/2013,6.0,6.6,5.4,6.1,6.1,6.1,6.1,6.0,0.922,0.922,0.922,0.922,0.907
14/11/2013,6.1,6.7,5.5,6.5,6.5,6.5,6.5,6.5,0.983,0.983,0.983,0.983,0.983
15/11/2013,6.5,7.1,5.9,6.5,6.5,6.5,6.5,6.5,0.983,0.983,0.983,0.983,0.983
18/11/2013,6.5,7.1,5.9,6.5,6.6,6.5,6.6,6.582,0.983,0.998,0.983,0.998,0.995
19/11/2013,6.6,7.2,6.0,6.5,6.7,6.5,6.7,6.549,0.983,1.013,0.983,1.013,0.99
20/11/2013,6.7,7.3,6.1,7.0,7.0,7.0,7.0,7.0,1.058,1.058,1.058,1.058,1.058
21/11/2013,7.0,7.7,6.3,7.4,7.5,6.4,6.4,7.363,1.119,1.134,0.967,0.967,1.113
22/11/2013,6.4,7.0,5.8,7.0,7.0,6.9,6.9,7.0,1.058,1.058,1.043,1.043,1.058
25/11/2013,6.9,7.5,6.3,7.4,7.4,6.9,7.4,7.054,1.119,1.119,1.043,1.119,1.066
26/11/2013,7.4,8.1,6.7,7.4,8.0,7.4,7.4,7.642,1.119,1.21,1.119,1.119,1.155
27/11/2013,7.4,8.1,6.7,7.0,7.0,6.7,6.7,6.95,1.058,1.058,1.013,1.013,1.05
28/11/2013,6.7,7.3,6.1,6.7,6.7,6.7,6.7,6.7,1.013,1.013,1.013,1.013,1.013
29/11/2013,6.7,7.3,6.1,6.7,6.7,6.7,6.7,6.7,1.013,1.013,1.013,1.013,1.013
02/12/2013,6.7,7.3,6.1,6.2,7.2,6.1,6.9,6.45,0.937,1.089,0.922,1.043,0.975
03/12/2013,6.9,7.5,6.3,7.3,7.3,7.3,7.3,7.3,1.104,1.104,1.104,1.104,1.104
04/12/2013,7.3,8.0,6.6,7.5,7.5,7.5,7.5,7.5,1.134,1.134,1.134,1.134,1.134
